dates,Interconnected Matrix,total_5.00 clays,total
10-Jul-1966,-0.0054188117526945325,-0.2679533969762157,-0.2733722087289102
11-Jul-1966,-0.00542840332304355,-0.2682198843079818,-0.2736482876310254
12-Jul-1966,-0.005437741234518087,-0.2684822024517618,-0.27391994368627987
13-Jul-1966,-0.005446823044530247,-0.2687402777346717,-0.27418710077920194
14-Jul-1966,-0.005455646384160762,-0.2689940380742004,-0.27444968445836115
15-Jul-1966,-0.005464208958866819,-0.26924341298719723,-0.2747076219460641
16-Jul-1966,-0.005472508549155438,-0.2694883335986402,-0.27496084214779565
17-Jul-1966,-0.00548054301124745,-0.2697287326506396,-0.2752092756618871
18-Jul-1966,-0.005488310277706697,-0.26996454451117635,-0.27545285478888304
19-Jul-1966,-0.0054958083580584766,-0.270195705183012,-0.27569151354107047
20-Jul-1966,-0.005503035339373734,-0.27042215231230643,-0.27592518765168017
21-Jul-1966,-0.0055099893868413765,-0.2706438251973502,-0.2761538145841916
22-Jul-1966,-0.005516668744306665,-0.27086066479697923,-0.2763773335412859
23-Jul-1966,-0.005523071734796122,-0.27107261373904273,-0.27659568547383884
24-Jul-1966,-0.00552919676101243,-0.2712796163285908,-0.27680881308960326
25-Jul-1966,-0.005535042305806228,-0.2714816185559123,-0.2770166608617185
26-Jul-1966,-0.005540606932629418,-0.2716785681044762,-0.27721917503710564
27-Jul-1966,-0.005545889285956717,-0.27187041435853343,-0.27741630364449016
28-Jul-1966,-0.005550888091691235,-0.2720571084106485,-0.27760799650233975
29-Jul-1966,-0.005555602157538344,-0.2722386030688606,-0.27779420522639897
30-Jul-1966,-0.0055600303733624335,-0.27241485286373385,-0.2779748832370963
31-Jul-1966,-0.00556417171151262,-0.27258581405502647,-0.2781499857665391
01-Aug-1966,-0.005568025227130272,-0.2727514446382057,-0.278319469865336
02-Aug-1966,-0.0055715900584262555,-0.2729117043505756,-0.2784832944090019
03-Aug-1966,-0.00557486542693877,-0.2730665546772064,-0.27864142010414517
04-Aug-1966,-0.0055778506377618,-0.2732159588564741,-0.2787938094942359
05-Aug-1966,-0.005580545079752843,-0.273359881885361,-0.27894042696511384
06-Aug-1966,-0.00558294822571313,-0.2734982905243819,-0.27908123875009505
07-Aug-1966,-0.0055851575259146975,-0.2736329483205312,-0.2792181058464459
08-Aug-1966,-0.005587172621490325,-0.2737638352058333,-0.27935100782732364
09-Aug-1966,-0.005588993237910048,-0.2738909327351776,-0.2794799259730877
10-Aug-1966,-0.00559061918506329,-0.2740142240947763,-0.27960484327983964
11-Aug-1966,-0.00559205035731463,-0.2741336941100347,-0.2797257444673493
12-Aug-1966,-0.005593286733535473,-0.2742493292528792,-0.2798426159864147
13-Aug-1966,-0.00559422174010851,-0.2743591623028961,-0.27995338404300457
14-Aug-1966,-0.005594855524912142,-0.27446317255359176,-0.2800580280785039
15-Aug-1966,-0.005595193931106522,-0.2745614440135661,-0.2801566379446726
16-Aug-1966,-0.005595237275401808,-0.27465396019265287,-0.28024919746805466
17-Aug-1966,-0.005594985958796284,-0.2747407064233674,-0.28033569238216366
18-Aug-1966,-0.005594440466456693,-0.27482166986023954,-0.2804161103266962
19-Aug-1966,-0.00559360136757469,-0.27489683947880267,-0.28049044084637736
20-Aug-1966,-0.0055924693151990995,-0.2749662060742172,-0.28055867538941626
21-Aug-1966,-0.005591045046040593,-0.2750297622594645,-0.2806208073055051
22-Aug-1966,-0.005589329380255585,-0.27508750246322194,-0.2806768318434775
23-Aug-1966,-0.005587323221200821,-0.27513942292726545,-0.28072674614846627
24-Aug-1966,-0.005585027555168229,-0.2751863461244883,-0.2807713736796565
25-Aug-1966,-0.005582443451089932,-0.2752292670080997,-0.2808117104591896
26-Aug-1966,-0.005579572060224501,-0.27526794749157335,-0.2808475195517979
27-Aug-1966,-0.005576414615812519,-0.27530240925497673,-0.2808788238707893
28-Aug-1966,-0.005572972432714674,-0.2753334129895235,-0.28090638542223817
29-Aug-1966,-0.005569246907018946,-0.27536157397202987,-0.2809308208790488
30-Aug-1966,-0.005565239515628177,-0.2753870658926817,-0.28095230540830984
31-Aug-1966,-0.005560951815824213,-0.27541011385825764,-0.28097106567408187
01-Sep-1966,-0.005556385444802524,-0.2754308241109139,-0.28098720955571643
02-Sep-1966,-0.0055515421191917195,-0.2754494696216958,-0.28100101174088754
03-Sep-1966,-0.005546423634539961,-0.2754659796809336,-0.28101240331547356
04-Sep-1966,-0.00554103186478806,-0.27548035322266307,-0.2810213850874511
05-Sep-1966,-0.0055353687617088,-0.2754928482050031,-0.2810282169667119
06-Sep-1966,-0.005529436354334215,-0.27550368349152154,-0.28103311984585577
07-Sep-1966,-0.005523236748348479,-0.27551276875737074,-0.2810360055057192
08-Sep-1966,-0.005516772125470002,-0.27552010237131624,-0.28103687449678627
09-Sep-1966,-0.005510044742798707,-0.27552568324282684,-0.28103572798562554
10-Sep-1966,-0.005503056932153663,-0.2755295108223585,-0.28103256775451213
11-Sep-1966,-0.005495811099376284,-0.2755316838537443,-0.2810274949531206
12-Sep-1966,-0.0054883097236199,-0.2755330130280188,-0.2810213227516387
13-Sep-1966,-0.00548055535661793,-0.27553390123508803,-0.281014456591706
14-Sep-1966,-0.005472550621921313,-0.2755342386570554,-0.2810067892789767
15-Sep-1966,-0.005464298214128572,-0.27553402580404524,-0.2809983240181738
16-Sep-1966,-0.0054558008980796924,-0.2755332633414793,-0.280989064239559
17-Sep-1966,-0.005447061508044699,-0.2755320190401945,-0.28097908054823917
18-Sep-1966,-0.005438082946875726,-0.27553070985537126,-0.28096879280224696
19-Sep-1966,-0.00542886818515511,-0.2755293281475799,-0.280958196332735
20-Sep-1966,-0.00541942026030666,-0.2755278745276414,-0.28094729478794805
21-Sep-1966,-0.005409742275704331,-0.2755262800731628,-0.28093602234886716
22-Sep-1966,-0.00539983739974368,-0.27552437657522577,-0.28092421397496947
23-Sep-1966,-0.005389708864912115,-0.27552238877840474,-0.28091209764331687
24-Sep-1966,-0.005379359966822971,-0.2755203233572585,-0.2808996833240815
25-Sep-1966,-0.005368794063242374,-0.2755181815025297,-0.2808869755657721
26-Sep-1966,-0.005358014573097945,-0.2755159641683441,-0.28087397874144204
27-Sep-1966,-0.00534702497545716,-0.27551367231650536,-0.2808606972919625
